c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
762.61	724	3723.74
762.71	723.9	3734.08
762.81	723.8	3831.49
762.91	723.7	3719.2
763.01	723.6	3714.85
763.11	723.5	3703.74
763.21	723.4	3806.56
763.31	723.3	3776.59
763.41	723.2	3791.96
763.51	723.1	3845.92
763.61	723	3815.46
763.71	722.9	3798.45
763.81	722.8	3911.82
763.91	722.7	3928.85
764.01	722.6	3864.84
764.11	722.5	3956.24
764.21	722.4	3892.34
764.31	722.3	3972.81
764.41	722.2	3926.04
764.51	722.1	3910.34
764.61	722	3990.29
764.71	721.9	3960.11
764.81	721.8	3947.23
764.91	721.7	3896.53
765.01	721.6	3867.65
765.11	721.5	3889.09
765.21	721.4	3993.11
765.31	721.3	4003.65
765.41	721.2	4025.39
765.51	721.1	4022.58
765.61	721	4036.63
765.71	720.9	4123.52
765.81	720.8	4130.71
765.91	720.7	4123.59
766.01	720.6	4036.09
766.11	720.5	4111.14
766.21	720.4	4113.84
766.31	720.3	4151.34
766.41	720.2	4214.81
766.51	720.1	4086.41
766.61	720	4091.67
766.71	719.9	4151.16
766.81	719.8	4163.21
766.91	719.7	4171.02
767.01	719.6	4175.93
767.11	719.5	4157.7
767.21	719.4	4176.75
767.31	719.3	4213.35
767.41	719.2	4166.29
767.51	719.1	4209.48
767.61	719	4129.42
767.71	718.9	4109.26
767.81	718.8	4137.2
767.91	718.7	4201.45
768.01	718.6	4170.19
768.11	718.5	4158.95
768.21	718.4	4131.83
768.31	718.3	4095.56
768.41	718.2	4150.08
768.51	718.1	4183.02
768.61	718	4202.69
768.71	717.9	4100.69
768.81	717.8	4015.39
768.91	717.7	4005.88
769.01	717.6	3995.06
769.11	717.5	4059.44
769.21	717.4	4042.62
769.31	717.3	3976.18
769.41	717.2	4027.56
769.51	717.1	3996.02
769.61	717	4002.4
769.71	716.9	4004.4
769.81	716.8	3986.23
769.91	716.7	3975.2
770.01	716.6	3913.14
770.11	716.5	3956.79
770.21	716.4	3876.86
770.31	716.3	3897.11
770.41	716.2	3860.87
770.51	716.1	3857.52
770.61	716	3881.59
770.71	715.9	3838.66
770.81	715.8	3822.14
770.91	715.7	3799.9
771.01	715.6	3796.79
771.11	715.5	3728.03
771.21	715.4	3733.2
771.31	715.3	3663.92
771.41	715.2	3711.3
771.51	715.1	3751.3
771.61	715	3679.54
771.71	714.9	3713.15
771.81	714.8	3719.56
771.91	714.7	3624.8
772.01	714.6	3577.65
772.11	714.5	3648.65
772.21	714.4	3621.23
772.31	714.3	3641.6
772.41	714.2	3690.08
772.51	714.1	3593.62
772.61	714	3599.99
772.71	713.9	3593.36
772.81	713.8	3573.98
772.91	713.7	3501.55
773.01	713.6	3526.1
773.11	713.5	3524.4
773.21	713.4	3582.32
773.31	713.3	3512.82
773.41	713.2	3481.47
773.51	713.1	3498.97
773.61	713	3540.1
773.71	712.9	3458.02
773.81	712.8	3460.14
773.91	712.7	3420.2
774.01	712.6	3360.01
774.11	712.5	3453.96
774.21	712.4	3446.81
774.31	712.3	3359.35
774.41	712.2	3437.27
774.51	712.1	3376.25
774.61	712	3361.41
774.71	711.9	3363.84
774.81	711.8	3414.99
774.91	711.7	3377.49
775.01	711.6	3388.03
775.11	711.5	3345.67
775.21	711.4	3370.03
775.31	711.3	3317.87
775.41	711.2	3270.16
775.51	711.1	3329.42
775.61	711	3314.6
775.71	710.9	3377.93
775.81	710.8	3285.73
775.91	710.7	3368.23
776.01	710.6	3377.52
776.11	710.5	3310.12
776.21	710.4	3300.99
776.31	710.3	3254.24
776.41	710.2	3272.22
776.51	710.1	3256.85
776.61	710	3264.17
776.71	709.9	3247.46
776.81	709.8	3263.23
776.91	709.7	3284.41
777.01	709.6	3351.35
777.11	709.5	3234.91
777.21	709.4	3214.57
777.31	709.3	3209.51
777.41	709.2	3264.41
777.51	709.1	3229.18
777.61	709	3231.6
777.71	708.9	3231.81
777.81	708.8	3173.57
777.91	708.7	3146.51
778.01	708.6	3129.82
778.11	708.5	3185.96
778.21	708.4	3220.62
778.31	708.3	3237.56
778.41	708.2	3228.94
778.51	708.1	3260.91
778.61	708	3232.01
778.71	707.9	3258.53
778.81	707.8	3245.12
778.91	707.7	3225.05
779.01	707.6	3193.25
779.11	707.5	3220.53
779.21	707.4	3117.43
779.31	707.3	3205.84
779.41	707.2	3249.8
779.51	707.1	3167.87
779.61	707	3318.35
779.71	706.9	3207.45
779.81	706.8	3219.96
779.91	706.7	3167.75
780.01	706.6	3216.26
780.11	706.5	3192.47
780.21	706.4	3216.84
780.31	706.3	3160.63
780.41	706.2	3156.24
780.51	706.1	3233.79
780.61	706	3208.26
780.71	705.9	3104.98
780.81	705.8	3154.8
780.91	705.7	3153.41
781.01	705.6	3153.54
781.11	705.5	3174.22
781.21	705.4	3203.28
781.31	705.3	3203.61
781.41	705.2	3110.26
781.51	705.1	3213.45
781.61	705	3150.06
781.71	704.9	3171.39
781.81	704.8	3195.55
781.91	704.7	3155.44
782.01	704.6	3167.7
782.11	704.5	3156.62
782.21	704.4	3157.74
782.31	704.3	3117.1
782.41	704.2	3168.33
782.51	704.1	3130.56
782.61	704	3183.82
782.71	703.9	3231.04
782.81	703.8	3144.09
782.91	703.7	3177.97
783.01	703.6	3119.2
783.11	703.5	3175.87
783.21	703.4	3173.54
783.31	703.3	3133.97
783.41	703.2	3155.57
783.51	703.1	3144.03
783.61	703	3078.9
783.71	702.9	3108.23
783.81	702.8	3068.93
783.91	702.7	3174.7
784.01	702.6	3129.09
784.11	702.5	3148.86
784.21	702.4	3118.18
784.31	702.3	3171.81
784.41	702.2	3092.34
784.51	702.1	3090.63
784.61	702	3100.64
784.71	701.9	3056.92
784.81	701.8	3039.76
784.91	701.7	3088.28
785.01	701.6	3088.08
785.11	701.5	3036.47
785.21	701.4	3115.72
785.31	701.3	3164.27
785.41	701.2	3077.69
785.51	701.1	3105.08
785.61	701	3114.08
785.71	700.9	3124.98
785.81	700.8	3114.67
785.91	700.7	3126.23
786.01	700.6	3115.47
786.11	700.5	3096.23
786.21	700.4	3141.37
786.31	700.3	3082.2
786.41	700.2	3109.2
786.51	700.1	3155.44
786.61	700	3135.03
786.71	699.9	3087.51
786.81	699.8	3119.68
786.91	699.7	3195.68
787.01	699.6	3212.16
787.11	699.5	3148.57
787.21	699.4	3175.15
787.31	699.3	3170.46
787.41	699.2	3162.46
787.51	699.1	3071.42
787.61	699	3107.38
787.71	698.9	3083.75
787.81	698.8	3116.47
787.91	698.7	3170.08
788.01	698.6	3159.56
788.11	698.5	3135.65
788.21	698.4	3122.58
788.31	698.3	3152.36
788.41	698.2	3153.49
788.51	698.1	3138.51
788.61	698	3111.13
788.71	697.9	3118.74
