c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1095.31	391.3	15686.3
1095.41	391.2	15597.9
1095.51	391.1	15648.2
1095.61	391	15586.7
1095.71	390.9	15600.5
1095.81	390.8	15652.5
1095.91	390.7	15619.8
1096.01	390.6	15625.5
1096.11	390.5	15650.4
1096.21	390.4	15707.8
1096.31	390.3	15742.8
1096.41	390.2	15731.6
1096.51	390.1	15748.2
1096.61	390	15826.1
1096.71	389.9	15725.8
1096.81	389.8	15644.8
1096.91	389.7	15605.8
1097.01	389.6	15720.1
1097.11	389.5	15824.9
1097.21	389.4	15721.2
1097.31	389.3	15619.2
1097.41	389.2	15694.5
1097.51	389.1	15755.7
1097.61	389	15693.4
1097.71	388.9	15793.5
1097.81	388.8	15757.5
1097.91	388.7	15813.7
1098.01	388.6	15735.3
1098.11	388.5	15647.4
1098.21	388.4	15827
1098.31	388.3	15880.2
1098.41	388.2	15916.3
1098.51	388.1	15800
1098.61	388	15856.3
1098.71	387.9	15886.4
1098.81	387.8	15807.2
1098.91	387.7	15787.4
1099.01	387.6	15828.3
1099.11	387.5	15869.5
1099.21	387.4	15830.2
1099.31	387.3	15862.7
1099.41	387.2	15921.3
1099.51	387.1	15953.3
1099.61	387	15942.5
1099.71	386.9	15847.9
1099.81	386.8	15946.8
1099.91	386.7	15944.1
1100.01	386.6	15966.8
1100.11	386.5	15881
1100.21	386.4	16067.6
1100.31	386.3	16070.2
1100.41	386.2	16039.7
1100.51	386.1	15954.5
1100.61	386	15925.9
1100.71	385.9	15882.6
1100.81	385.8	15882.5
1100.91	385.7	16000.1
1101.01	385.6	16060
1101.11	385.5	16018
1101.21	385.4	15998.2
1101.31	385.3	15957.4
1101.41	385.2	16097.5
1101.51	385.1	16042.9
1101.61	385	15974
1101.71	384.9	16026
1101.81	384.8	15979.1
1101.91	384.7	16020.1
1102.01	384.6	15945.1
1102.11	384.5	16052.6
1102.21	384.4	15976.1
1102.31	384.3	16089.1
1102.41	384.2	16098.3
1102.51	384.1	16094.3
1102.61	384	16058.4
1102.71	383.9	16120.2
1102.81	383.8	16012
1102.91	383.7	16141.6
1103.01	383.6	16171.9
1103.11	383.5	16155.6
1103.21	383.4	16221.5
1103.31	383.3	16193.2
1103.41	383.2	16069.6
1103.51	383.1	16165
1103.61	383	16115.4
1103.71	382.9	16093.4
1103.81	382.8	16231.5
1103.91	382.7	16247.3
1104.01	382.6	16259.6
1104.11	382.5	16172.1
1104.21	382.4	16152.1
1104.31	382.3	16138.5
1104.41	382.2	16078.7
1104.51	382.1	16218.1
1104.61	382	16314.3
1104.71	381.9	16230.4
1104.81	381.8	16213.2
1104.91	381.7	16345.3
1105.01	381.6	16304.1
1105.11	381.5	16306.6
1105.21	381.4	16348.1
1105.31	381.3	16327.5
1105.41	381.2	16405.5
1105.51	381.1	16295.6
1105.61	381	16380.6
1105.71	380.9	16477.5
1105.81	380.8	16368.3
1105.91	380.7	16356.9
1106.01	380.6	16406.6
1106.11	380.5	16419.1
1106.21	380.4	16391
1106.31	380.3	16477.7
1106.41	380.2	16409.5
1106.51	380.1	16367.1
1106.61	380	16442.7
1106.71	379.9	16441.9
1106.81	379.8	16477
1106.91	379.7	16651.6
1107.01	379.6	16449.7
1107.11	379.5	16400.4
1107.21	379.4	16538.2
1107.31	379.3	16476.8
1107.41	379.2	16570.6
1107.51	379.1	16479.9
1107.61	379	16575.5
1107.71	378.9	16496.1
1107.81	378.8	16542.8
1107.91	378.7	16504.1
1108.01	378.6	16517.9
1108.11	378.5	16488.6
1108.21	378.4	16536.6
1108.31	378.3	16536.3
1108.41	378.2	16606.1
1108.51	378.1	16581.5
1108.61	378	16529.1
1108.71	377.9	16573.2
1108.81	377.8	16584.2
1108.91	377.7	16616.3
1109.01	377.6	16561.6
1109.11	377.5	16719
1109.21	377.4	16620.1
1109.31	377.3	16667.3
1109.41	377.2	16584.1
1109.51	377.1	16621.7
1109.61	377	16585.9
1109.71	376.9	16655.1
1109.81	376.8	16760.8
1109.91	376.7	16735.3
1110.01	376.6	16694.4
1110.11	376.5	16725.4
1110.21	376.4	16704.6
1110.31	376.3	16631.9
1110.41	376.2	16732.8
1110.51	376.1	16613.7
1110.61	376	16649.3
1110.71	375.9	16672.7
1110.81	375.8	16732.7
1110.91	375.7	16698.1
1111.01	375.6	16662.3
1111.11	375.5	16660.1
1111.21	375.4	16725.6
1111.31	375.3	16802.4
1111.41	375.2	16771.7
1111.51	375.1	16798.5
1111.61	375	16709.4
1111.71	374.9	16715.9
1111.81	374.8	16655
1111.91	374.7	16776.2
1112.01	374.6	16630.3
1112.11	374.5	16668.3
1112.21	374.4	16636.6
1112.31	374.3	16555.6
1112.41	374.2	16689.7
1112.51	374.1	16644
1112.61	374	16620.9
1112.71	373.9	16596.8
1112.81	373.8	16581.5
1112.91	373.7	16602.3
1113.01	373.6	16622.8
1113.11	373.5	16726.9
1113.21	373.4	16569.8
1113.31	373.3	16533.1
1113.41	373.2	16539.1
1113.51	373.1	16482.4
1113.61	373	16401.4
1113.71	372.9	16389.2
1113.81	372.8	16346
1113.91	372.7	16413.9
1114.01	372.6	16401.6
1114.11	372.5	16417.8
1114.21	372.4	16370.4
1114.31	372.3	16421.1
1114.41	372.2	16326.5
1114.51	372.1	16383.7
1114.61	372	16368.2
1114.71	371.9	16402.5
1114.81	371.8	16470.8
1114.91	371.7	16393.9
