C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
332.41	1154.2	10315.4	10315.4
332.51	1154.1	10067.3	10067.3
332.61	1154	10215.9	10215.9
332.71	1153.9	10197.9	10197.9
332.81	1153.8	10281.7	10281.7
332.91	1153.7	10418	10418
333.01	1153.6	10300.8	10300.8
333.11	1153.5	10296.7	10296.7
333.21	1153.4	10249.6	10249.6
333.31	1153.3	10315	10315
333.41	1153.2	10393.1	10393.1
333.51	1153.1	10473.3	10473.3
333.61	1153	10401.7	10401.7
333.71	1152.9	10409.5	10409.5
333.81	1152.8	10363.7	10363.7
333.91	1152.7	10347.8	10347.8
334.01	1152.6	10426.2	10426.2
334.11	1152.5	10397.3	10397.3
334.21	1152.4	10214.1	10214.1
334.31	1152.3	10277.1	10277.1
334.41	1152.2	10318.9	10318.9
334.51	1152.1	10399.2	10399.2
334.61	1152	10307.8	10307.8
334.71	1151.9	10395.8	10395.8
334.81	1151.8	10558.9	10558.9
334.91	1151.7	10430.5	10430.5
335.01	1151.6	10399.7	10399.7
335.11	1151.5	10402.4	10402.4
335.21	1151.4	10354	10354
335.31	1151.3	10308.8	10308.8
335.41	1151.2	10373.2	10373.2
335.51	1151.1	10361.1	10361.1
335.61	1151	10549.2	10549.2
335.71	1150.9	10384.5	10384.5
335.81	1150.8	10329.2	10329.2
335.91	1150.7	10495.2	10495.2
336.01	1150.6	10381.8	10381.8
336.11	1150.5	10388.1	10388.1
336.21	1150.4	10470.3	10470.3
336.31	1150.3	10455.6	10455.6
336.41	1150.2	10403.5	10403.5
336.51	1150.1	10481.9	10481.9
336.61	1150	10397.8	10397.8
336.71	1149.9	10495.5	10495.5
336.81	1149.8	10475.4	10475.4
336.91	1149.7	10493.3	10493.3
337.01	1149.6	10475.7	10475.7
337.11	1149.5	10523.7	10523.7
337.21	1149.4	10553.9	10553.9
337.31	1149.3	10561.8	10561.8
337.41	1149.2	10459.9	10459.9
337.51	1149.1	10457.1	10457.1
337.61	1149	10568.3	10568.3
337.71	1148.9	10486.3	10486.3
337.81	1148.8	10499.5	10499.5
337.91	1148.7	10545.8	10545.8
338.01	1148.6	10519.6	10519.6
