C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3p	BE_Ag3p	CPS_Ag3p
783.31	703.3	3823.73
783.41	703.2	3859.39
783.51	703.1	3820.78
783.61	703	3822.84
783.71	702.9	3880.51
783.81	702.8	3846.91
783.91	702.7	3876.62
784.01	702.6	3915.64
784.11	702.5	3851.6
784.21	702.4	3857.66
784.31	702.3	3865.69
784.41	702.2	3835.81
784.51	702.1	3877.34
784.61	702	3864.7
784.71	701.9	3868.44
784.81	701.8	3859.52
784.91	701.7	3887.92
785.01	701.6	3856.29
785.11	701.5	3861.94
785.21	701.4	3884.88
785.31	701.3	3793.37
785.41	701.2	3851.98
785.51	701.1	3849.24
785.61	701	3876.49
785.71	700.9	3906.72
785.81	700.8	3849.91
785.91	700.7	3861.55
786.01	700.6	3852.77
786.11	700.5	3892.31
786.21	700.4	3923.87
786.31	700.3	3844.18
786.41	700.2	3864.68
786.51	700.1	3860.29
786.61	700	3891.56
786.71	699.9	3940.28
786.81	699.8	3897.11
786.91	699.7	3829.3
787.01	699.6	3880.31
787.11	699.5	3895.45
787.21	699.4	3868.38
787.31	699.3	3845.83
787.41	699.2	3851.6
787.51	699.1	3858.07
787.61	699	3867.68
787.71	698.9	3902.43
787.81	698.8	3875.28
787.91	698.7	3889.19
788.01	698.6	3936.64
788.11	698.5	3949.64
788.21	698.4	3881.28
788.31	698.3	3885.27
788.41	698.2	3896.97
788.51	698.1	3897.63
788.61	698	3888.54
788.71	697.9	3876.02
788.81	697.8	3840.7
788.91	697.7	3882.25
789.01	697.6	3986.88
789.11	697.5	3979.9
789.21	697.4	3882.33
789.31	697.3	3871.53
789.41	697.2	3905.99
789.51	697.1	3906.66
789.61	697	3862.69
789.71	696.9	3899.81
789.81	696.8	3870.27
789.91	696.7	3943.02
790.01	696.6	3934.95
790.11	696.5	3913.17
790.21	696.4	3926.67
