c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
738.41	748.2	3813.95
738.51	748.1	3705.67
738.61	748	3868.53
738.71	747.9	3804.2
738.81	747.8	3814.26
738.91	747.7	3714.72
739.01	747.6	3750.49
739.11	747.5	3705.2
739.21	747.4	3704.67
739.31	747.3	3781.73
739.41	747.2	3802.09
739.51	747.1	3688.2
739.61	747	3637.72
739.71	746.9	3735.18
739.81	746.8	3825.44
739.91	746.7	3738.7
740.01	746.6	3664.51
740.11	746.5	3662.42
740.21	746.4	3666.38
740.31	746.3	3689.54
740.41	746.2	3647.3
740.51	746.1	3713.31
740.61	746	3762.32
740.71	745.9	3597.68
740.81	745.8	3661.49
740.91	745.7	3759.05
741.01	745.6	3669.66
741.11	745.5	3614.26
741.21	745.4	3606.32
741.31	745.3	3690.33
741.41	745.2	3665.83
741.51	745.1	3739.79
741.61	745	3626.1
741.71	744.9	3565.45
741.81	744.8	3651.71
741.91	744.7	3589.41
742.01	744.6	3713.07
742.11	744.5	3587.22
742.21	744.4	3577.37
742.31	744.3	3758.13
742.41	744.2	3587.03
742.51	744.1	3572.08
742.61	744	3714.18
742.71	743.9	3641.19
742.81	743.8	3740.89
742.91	743.7	3560.69
743.01	743.6	3567.99
743.11	743.5	3686.79
743.21	743.4	3691.44
743.31	743.3	3648.09
743.41	743.2	3635.04
743.51	743.1	3632.69
743.61	743	3616.99
743.71	742.9	3671.19
743.81	742.8	3647.43
743.91	742.7	3596.68
744.01	742.6	3544.63
744.11	742.5	3637.13
744.21	742.4	3701.87
744.31	742.3	3622.27
744.41	742.2	3791.51
744.51	742.1	3600.06
744.61	742	3620.15
744.71	741.9	3652.1
744.81	741.8	3630.19
744.91	741.7	3667.14
745.01	741.6	3577.23
745.11	741.5	3581.67
745.21	741.4	3621.76
745.31	741.3	3579.46
745.41	741.2	3659.7
745.51	741.1	3605.54
745.61	741	3683.38
745.71	740.9	3547.37
745.81	740.8	3627.36
745.91	740.7	3575.8
746.01	740.6	3667.94
746.11	740.5	3693.03
746.21	740.4	3553.82
746.31	740.3	3676.8
746.41	740.2	3627.44
746.51	740.1	3571.53
746.61	740	3555.61
746.71	739.9	3602.45
746.81	739.8	3620.59
746.91	739.7	3649.17
747.01	739.6	3638.41
747.11	739.5	3582.09
747.21	739.4	3612.12
747.31	739.3	3643.01
747.41	739.2	3698.79
747.51	739.1	3505.02
747.61	739	3553.4
747.71	738.9	3613.29
747.81	738.8	3562.97
747.91	738.7	3591.75
748.01	738.6	3678.43
748.11	738.5	3713.16
748.21	738.4	3563.19
748.31	738.3	3563.27
748.41	738.2	3670.69
748.51	738.1	3657.02
748.61	738	3709.35
748.71	737.9	3681.13
748.81	737.8	3650.9
748.91	737.7	3514.78
749.01	737.6	3677.86
749.11	737.5	3609.43
749.21	737.4	3622.76
749.31	737.3	3555.68
749.41	737.2	3605.35
749.51	737.1	3677.53
749.61	737	3722.75
749.71	736.9	3661.17
749.81	736.8	3605.49
749.91	736.7	3566.46
750.01	736.6	3570.63
750.11	736.5	3580.2
750.21	736.4	3542.12
750.31	736.3	3636.44
750.41	736.2	3697.01
750.51	736.1	3655.98
750.61	736	3465.05
750.71	735.9	3498.97
750.81	735.8	3714.23
750.91	735.7	3689.75
751.01	735.6	3681.46
751.11	735.5	3677.28
751.21	735.4	3626.94
751.31	735.3	3600.81
751.41	735.2	3652.12
751.51	735.1	3583.53
751.61	735	3771.25
751.71	734.9	3572.31
751.81	734.8	3606.67
751.91	734.7	3552.28
752.01	734.6	3534.24
752.11	734.5	3556.9
752.21	734.4	3699.26
752.31	734.3	3727.97
752.41	734.2	3652.68
752.51	734.1	3662.29
752.61	734	3651.69
752.71	733.9	3605.05
752.81	733.8	3631.36
752.91	733.7	3606.81
753.01	733.6	3554.22
753.11	733.5	3678.77
753.21	733.4	3648.52
753.31	733.3	3550.98
753.41	733.2	3657.13
753.51	733.1	3634.48
753.61	733	3571.98
753.71	732.9	3637.99
753.81	732.8	3621.54
753.91	732.7	3636.84
754.01	732.6	3631.44
754.11	732.5	3754.28
754.21	732.4	3593.58
754.31	732.3	3663.43
754.41	732.2	3696.83
754.51	732.1	3637.07
754.61	732	3693.87
754.71	731.9	3687.81
754.81	731.8	3609.56
754.91	731.7	3617.95
755.01	731.6	3732.9
755.11	731.5	3570.04
755.21	731.4	3733.68
755.31	731.3	3576.97
755.41	731.2	3638.62
755.51	731.1	3543.31
755.61	731	3510
755.71	730.9	3600.88
755.81	730.8	3618.27
755.91	730.7	3747.76
756.01	730.6	3592.3
756.11	730.5	3610.39
756.21	730.4	3628.42
756.31	730.3	3658.06
756.41	730.2	3822.74
756.51	730.1	3790.63
756.61	730	3629.61
756.71	729.9	3624.74
756.81	729.8	3598.53
756.91	729.7	3609.11
757.01	729.6	3723.94
757.11	729.5	3685.37
757.21	729.4	3561.6
757.31	729.3	3538.63
757.41	729.2	3673.61
757.51	729.1	3627.64
757.61	729	3646.37
757.71	728.9	3674.39
757.81	728.8	3758.52
757.91	728.7	3657.44
758.01	728.6	3685.52
758.11	728.5	3561.69
758.21	728.4	3756.97
758.31	728.3	3751.89
758.41	728.2	3609.31
758.51	728.1	3565.58
758.61	728	3659.81
758.71	727.9	3685.18
758.81	727.8	3518.75
758.91	727.7	3620.27
759.01	727.6	3528.03
759.11	727.5	3619.8
759.21	727.4	3648.52
759.31	727.3	3680.68
759.41	727.2	3725.05
759.51	727.1	3621.32
759.61	727	3612.08
759.71	726.9	3551.94
759.81	726.8	3677.86
759.91	726.7	3639.62
760.01	726.6	3717.93
760.11	726.5	3709.44
760.21	726.4	3631.25
760.31	726.3	3541.11
