c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
743.41	743.2	1316.48
743.51	743.1	1348.89
743.61	743	1343.34
743.71	742.9	1292.59
743.81	742.8	1355.2
743.91	742.7	1337.42
744.01	742.6	1266.67
744.11	742.5	1295.15
744.21	742.4	1315.16
744.31	742.3	1276.58
744.41	742.2	1259.52
744.51	742.1	1294.64
744.61	742	1300.38
744.71	741.9	1337.86
744.81	741.8	1276.81
744.91	741.7	1278.46
745.01	741.6	1316.67
745.11	741.5	1336.28
745.21	741.4	1327.8
745.31	741.3	1286.51
745.41	741.2	1333.89
745.51	741.1	1369.07
745.61	741	1329.68
745.71	740.9	1309.09
745.81	740.8	1291.17
745.91	740.7	1275.58
746.01	740.6	1347.93
746.11	740.5	1293.4
746.21	740.4	1370.45
746.31	740.3	1351.49
746.41	740.2	1284.57
746.51	740.1	1287.31
746.61	740	1286.56
746.71	739.9	1273.24
746.81	739.8	1237.61
746.91	739.7	1217.79
747.01	739.6	1252.43
747.11	739.5	1304.31
747.21	739.4	1283.72
747.31	739.3	1254.79
747.41	739.2	1330.7
747.51	739.1	1338.98
747.61	739	1292.15
747.71	738.9	1290
747.81	738.8	1328.04
747.91	738.7	1297.71
748.01	738.6	1312.69
748.11	738.5	1318.16
748.21	738.4	1250.04
748.31	738.3	1280.01
748.41	738.2	1307.09
748.51	738.1	1272.63
748.61	738	1305.23
748.71	737.9	1284.27
748.81	737.8	1311.11
748.91	737.7	1297.25
749.01	737.6	1280.69
749.11	737.5	1288.1
749.21	737.4	1258.71
749.31	737.3	1312.38
749.41	737.2	1285.82
749.51	737.1	1298.29
749.61	737	1290.73
749.71	736.9	1255.47
749.81	736.8	1340.71
749.91	736.7	1312.88
750.01	736.6	1227.85
750.11	736.5	1324.49
750.21	736.4	1308.63
750.31	736.3	1321.73
750.41	736.2	1329.5
750.51	736.1	1308
750.61	736	1294.51
750.71	735.9	1316.74
750.81	735.8	1286.91
750.91	735.7	1319.95
751.01	735.6	1347.85
751.11	735.5	1259.16
751.21	735.4	1237.53
751.31	735.3	1318.29
751.41	735.2	1324.5
751.51	735.1	1366.23
751.61	735	1325.67
751.71	734.9	1330.34
751.81	734.8	1342.2
751.91	734.7	1324.37
752.01	734.6	1312.31
752.11	734.5	1371.54
752.21	734.4	1357.01
752.31	734.3	1345.04
752.41	734.2	1374.41
752.51	734.1	1357.51
752.61	734	1255.74
752.71	733.9	1303.27
752.81	733.8	1319.21
752.91	733.7	1243.54
753.01	733.6	1288.04
753.11	733.5	1328.84
753.21	733.4	1311.37
753.31	733.3	1318.57
753.41	733.2	1349.83
753.51	733.1	1294.97
753.61	733	1270.96
753.71	732.9	1333.26
753.81	732.8	1358.43
753.91	732.7	1276.42
754.01	732.6	1328.89
754.11	732.5	1395.12
754.21	732.4	1343.75
754.31	732.3	1364.94
754.41	732.2	1322.57
754.51	732.1	1336.94
754.61	732	1324.57
754.71	731.9	1248
754.81	731.8	1314.19
754.91	731.7	1326.05
755.01	731.6	1269.45
755.11	731.5	1281.41
755.21	731.4	1317.04
755.31	731.3	1344.77
755.41	731.2	1251.96
755.51	731.1	1326.76
755.61	731	1327.48
755.71	730.9	1346.48
755.81	730.8	1332.74
755.91	730.7	1298.23
756.01	730.6	1311.02
756.11	730.5	1313.15
756.21	730.4	1348.61
756.31	730.3	1311.67
756.41	730.2	1336.53
756.51	730.1	1291.49
756.61	730	1352.01
756.71	729.9	1376
756.81	729.8	1302.56
756.91	729.7	1323.92
757.01	729.6	1274.64
757.11	729.5	1280.7
757.21	729.4	1306.93
757.31	729.3	1312.08
757.41	729.2	1303.81
757.51	729.1	1290.9
757.61	729	1362.89
757.71	728.9	1289.21
757.81	728.8	1259.67
757.91	728.7	1302.29
758.01	728.6	1343.64
758.11	728.5	1287.93
758.21	728.4	1333.79
758.31	728.3	1378.04
758.41	728.2	1311.13
758.51	728.1	1332.52
758.61	728	1305.57
758.71	727.9	1331.76
758.81	727.8	1362.35
758.91	727.7	1361.34
759.01	727.6	1380.62
759.11	727.5	1364.18
759.21	727.4	1313.4
759.31	727.3	1296.12
759.41	727.2	1282.07
759.51	727.1	1304.22
759.61	727	1328.44
759.71	726.9	1389.86
759.81	726.8	1411.98
759.91	726.7	1336.59
760.01	726.6	1338.01
760.11	726.5	1360.13
760.21	726.4	1329.11
760.31	726.3	1279.5
760.41	726.2	1319.72
760.51	726.1	1332.3
760.61	726	1350.25
760.71	725.9	1369.93
760.81	725.8	1312.12
760.91	725.7	1310.63
761.01	725.6	1309.61
761.11	725.5	1311.26
761.21	725.4	1328.84
761.31	725.3	1305.89
761.41	725.2	1338.14
761.51	725.1	1312.02
761.61	725	1326.94
761.71	724.9	1358.28
761.81	724.8	1338.03
761.91	724.7	1299.55
762.01	724.6	1299.49
762.11	724.5	1329.57
762.21	724.4	1375.32
762.31	724.3	1366.8
762.41	724.2	1304.64
762.51	724.1	1379.12
762.61	724	1342.43
762.71	723.9	1351.68
762.81	723.8	1370.26
762.91	723.7	1317.84
763.01	723.6	1368.41
763.11	723.5	1324.42
763.21	723.4	1307.07
763.31	723.3	1332.15
763.41	723.2	1383.32
763.51	723.1	1314.73
763.61	723	1316.44
763.71	722.9	1330.52
