C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1284.11	202.5	2711.71	2711.71
1284.61	202	2678.95	2678.95
1285.11	201.5	2712.57	2712.57
1285.61	201	2710.86	2710.86
1286.11	200.5	2725.8	2725.8
1286.61	200	2716.87	2716.87
1287.11	199.5	2708.05	2708.05
1287.61	199	2710.09	2710.09
1288.11	198.5	2714.05	2714.05
1288.61	198	2698.92	2698.92
1289.11	197.5	2707.69	2707.69
1289.61	197	2730.96	2730.96
1290.11	196.5	2725.75	2725.75
1290.61	196	2720.44	2720.44
1291.11	195.5	2749.59	2749.59
1291.61	195	2755.28	2755.28
1292.11	194.5	2757.8	2757.8
1292.61	194	2749.64	2749.64
1293.11	193.5	2751.66	2751.66
1293.61	193	2754.28	2754.28
1294.11	192.5	2778.61	2778.61
1294.61	192	2760.8	2760.8
1295.11	191.5	2801.53	2801.53
1295.61	191	2792.76	2792.76
1296.11	190.5	2760.45	2760.45
1296.61	190	2744.92	2744.92
1297.11	189.5	2789.33	2789.33
1297.61	189	2789.74	2789.74
1298.11	188.5	2778.94	2778.94
1298.61	188	2801.58	2801.58
1299.11	187.5	2813.25	2813.25
1299.61	187	2792.05	2792.05
1300.11	186.5	2815.57	2815.57
1300.61	186	2798.15	2798.15
1301.11	185.5	2827.49	2827.49
1301.61	185	2819.18	2819.18
1302.11	184.5	2820.7	2820.7
1302.61	184	2834.76	2834.76
1303.11	183.5	2863.56	2863.56
1303.61	183	2857.87	2857.87
1304.11	182.5	2860.26	2860.26
1304.61	182	2852.46	2852.46
1305.11	181.5	2863.35	2863.35
1305.61	181	2892.39	2892.39
1306.11	180.5	2887.57	2887.57
1306.61	180	2884.15	2884.15
1307.11	179.5	2891.34	2891.34
1307.61	179	2874.44	2874.44
1308.11	178.5	2907.42	2907.42
1308.61	178	2878.8	2878.8
1309.11	177.5	2886.59	2886.59
1309.61	177	2902.67	2902.67
1310.11	176.5	2887.1	2887.1
1310.61	176	2911.4	2911.4
1311.11	175.5	2924.07	2924.07
1311.61	175	2915.98	2915.98
1312.11	174.5	2969.64	2969.64
1312.61	174	2963.7	2963.7
1313.11	173.5	2932.97	2932.97
1313.61	173	2961.18	2961.18
1314.11	172.5	2961.85	2961.85
1314.61	172	2952.47	2952.47
1315.11	171.5	2993.12	2993.12
1315.61	171	3003.48	3003.48
1316.11	170.5	2993.1	2993.1
1316.61	170	2999.01	2999.01
1317.11	169.5	3024.93	3024.93
1317.61	169	3049.55	3049.55
1318.11	168.5	3039.19	3039.19
1318.61	168	3085.21	3085.21
1319.11	167.5	3060.61	3060.61
1319.61	167	3034.09	3034.09
1320.11	166.5	3043.49	3043.49
1320.61	166	3064.11	3064.11
1321.11	165.5	3051.26	3051.26
1321.61	165	3059.82	3059.82
1322.11	164.5	3059.12	3059.12
1322.61	164	3079.48	3079.48
1323.11	163.5	3108.97	3108.97
1323.61	163	3102.43	3102.43
1324.11	162.5	3095.92	3095.92
1324.61	162	3089.79	3089.79
1325.11	161.5	3098.11	3098.11
1325.61	161	3113.82	3113.82
1326.11	160.5	3120.24	3120.24
1326.61	160	3102.81	3102.81
1327.11	159.5	3101.82	3101.82
1327.61	159	3088.41	3088.41
1328.11	158.5	3099.02	3099.02
1328.61	158	3121	3121
1329.11	157.5	3156.5	3156.5
1329.61	157	3161.85	3161.85
1330.11	156.5	3146.83	3146.83
1330.61	156	3163.85	3163.85
1331.11	155.5	3160.19	3160.19
1331.61	155	3179.1	3179.1
1332.11	154.5	3195.64	3195.64
1332.61	154	3224.26	3224.26
1333.11	153.5	3214.87	3214.87
1333.61	153	3238.48	3238.48
1334.11	152.5	3227.19	3227.19
1334.61	152	3215.49	3215.49
1335.11	151.5	3230.03	3230.03
1335.61	151	3275.63	3275.63
1336.11	150.5	3248.7	3248.7
1336.61	150	3253.45	3253.45
1337.11	149.5	3285.98	3285.98
1337.61	149	3272.02	3272.02
1338.11	148.5	3276.29	3276.29
1338.61	148	3290.71	3290.71
1339.11	147.5	3289.05	3289.05
1339.61	147	3294.55	3294.55
1340.11	146.5	3309.82	3309.82
1340.61	146	3335.19	3335.19
1341.11	145.5	3352.8	3352.8
1341.61	145	3348.23	3348.23
1342.11	144.5	3346.46	3346.46
