C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1315.11	171.5	815.958	815.958
1315.61	171	824.277	824.277
1316.11	170.5	831.11	831.11
1316.61	170	829.678	829.678
1317.11	169.5	833.776	833.776
1317.61	169	834.226	834.226
1318.11	168.5	825.069	825.069
1318.61	168	821.749	821.749
1319.11	167.5	833.304	833.304
1319.61	167	836.755	836.755
1320.11	166.5	828.292	828.292
1320.61	166	846.368	846.368
1321.11	165.5	837.758	837.758
1321.61	165	816.826	816.826
1322.11	164.5	831.034	831.034
1322.61	164	827.412	827.412
1323.11	163.5	837.508	837.508
1323.61	163	846.709	846.709
1324.11	162.5	851.935	851.935
1324.61	162	819.472	819.472
1325.11	161.5	837.872	837.872
1325.61	161	840.065	840.065
1326.11	160.5	845.248	845.248
1326.61	160	833.346	833.346
1327.11	159.5	835.684	835.684
1327.61	159	841.222	841.222
1328.11	158.5	837.053	837.053
1328.61	158	843.299	843.299
1329.11	157.5	845.613	845.613
1329.61	157	836.507	836.507
1330.11	156.5	844.01	844.01
1330.61	156	847.125	847.125
1331.11	155.5	851.865	851.865
1331.61	155	864.761	864.761
1332.11	154.5	836.352	836.352
1332.61	154	835.099	835.099
1333.11	153.5	840.533	840.533
1333.61	153	838.078	838.078
1334.11	152.5	836.575	836.575
1334.61	152	848.59	848.59
1335.11	151.5	857.655	857.655
1335.61	151	839.06	839.06
1336.11	150.5	834.177	834.177
1336.61	150	824.72	824.72
1337.11	149.5	840.075	840.075
1337.61	149	850.315	850.315
1338.11	148.5	841.558	841.558
1338.61	148	837.079	837.079
1339.11	147.5	821.703	821.703
1339.61	147	841.54	841.54
1340.11	146.5	848.432	848.432
1340.61	146	829.184	829.184
1341.11	145.5	825.483	825.483
1341.61	145	820.689	820.689
1342.11	144.5	819.974	819.974
1342.61	144	823.541	823.541
1343.11	143.5	814.996	814.996
1343.61	143	815.101	815.101
1344.11	142.5	824.608	824.608
1344.61	142	829.05	829.05
1345.11	141.5	828.922	828.922
1345.61	141	823.429	823.429
1346.11	140.5	808.622	808.622
1346.61	140	817.967	817.967
1347.11	139.5	815.264	815.264
1347.61	139	801.93	801.93
