c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1372.16	114.45	1107	
1372.21	114.4	1131.82	
1372.26	114.35	1138.75	
1372.31	114.3	1143.61	
1372.36	114.25	1131.99	
1372.41	114.2	1132.52	
1372.46	114.15	1119.78	
1372.51	114.1	1137.81	
1372.56	114.05	1115.19	
1372.61	114	1139.07	
1372.66	113.95	1135.4	
1372.71	113.9	1137.89	
1372.76	113.85	1117.73	
1372.81	113.8	1121.42	
1372.86	113.75	1139.13	
1372.91	113.7	1117.82	
1372.96	113.65	1141.69	
1373.01	113.6	1149.06	
1373.06	113.55	1126.84	
1373.11	113.5	1127.12	
1373.16	113.45	1111.82	
1373.21	113.4	1101.38	
1373.26	113.35	1108.85	
1373.31	113.3	1110.7	
1373.36	113.25	1118.63	
1373.41	113.2	1088.26	
1373.46	113.15	1089.75	
1373.51	113.1	1083.26	
1373.56	113.05	1099.38	
1373.61	113	1098.27	
1373.66	112.95	1103.51	
1373.71	112.9	1109.84	
1373.76	112.85	1102.01	
1373.81	112.8	1082.49	
1373.86	112.75	1089.11	
1373.91	112.7	1076.58	
1373.96	112.65	1085.82	
1374.01	112.6	1099.02	
1374.06	112.55	1089.01	
1374.11	112.5	1094.44	
1374.16	112.45	1100.19	
1374.21	112.4	1079.77	
1374.26	112.35	1082.37	
1374.31	112.3	1064.65	
1374.36	112.25	1073.63	
1374.41	112.2	1072.96	
1374.46	112.15	1072.28	
1374.51	112.1	1035.78	
1374.56	112.05	1083.06	
1374.61	112	1077.16	
1374.66	111.95	1086.8	
1374.71	111.9	1086.17	
1374.76	111.85	1080.96	
1374.81	111.8	1063.78	
1374.86	111.75	1104.84	
1374.91	111.7	1096.33	
1374.96	111.65	1075.22	
1375.01	111.6	1078	
1375.06	111.55	1061.59	
1375.11	111.5	1072.06	
1375.16	111.45	1100.94	
1375.21	111.4	1096.77	
