C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1395.01	91.6	3554.52
1395.11	91.5	3581.22
1395.21	91.4	3558.01
1395.31	91.3	3624.47
1395.41	91.2	3686.85
1395.51	91.1	3718.4
1395.61	91	3734.42
1395.71	90.9	3796.84
1395.81	90.8	3835.89
1395.91	90.7	3876.55
1396.01	90.6	3900.9
1396.11	90.5	3917.79
1396.21	90.4	3933.1
1396.31	90.3	3961.98
1396.41	90.2	3981.16
1396.51	90.1	4003.53
1396.61	90	4007.23
1396.71	89.9	3974.55
1396.81	89.8	4006.51
1396.91	89.7	4006.69
1397.01	89.6	4054.9
1397.11	89.5	4120.05
1397.21	89.4	4245.62
1397.31	89.3	4385.82
1397.41	89.2	4564.16
1397.51	89.1	4762.62
1397.61	89	5021.8
1397.71	88.9	5410.74
1397.81	88.8	5825.87
1397.91	88.7	6505.42
1398.01	88.6	7341.58
1398.11	88.5	8598.63
1398.21	88.4	10439.2
1398.31	88.3	13091.7
1398.41	88.2	16799
1398.51	88.1	21654.3
1398.61	88	27489.5
1398.71	87.9	33384.1
1398.81	87.8	38541.8
1398.91	87.7	41553.7
1399.01	87.6	41100.9
1399.11	87.5	37744.9
1399.21	87.4	32389
1399.31	87.3	26058.8
1399.41	87.2	20147
1399.51	87.1	15362.6
1399.61	87	11761
1399.71	86.9	9221.55
1399.81	86.8	7434.67
1399.91	86.7	6229.86
1400.01	86.6	5437.29
1400.11	86.5	4896.1
1400.21	86.4	4501.7
1400.31	86.3	4234.63
1400.41	86.2	3970.33
1400.51	86.1	3889.77
1400.61	86	3754.75
1400.71	85.9	3708.33
1400.81	85.8	3744.82
1400.91	85.7	3844.01
1401.01	85.6	3926.16
1401.11	85.5	4109.13
1401.21	85.4	4318.28
1401.31	85.3	4643.75
1401.41	85.2	5038.19
1401.51	85.1	5639.73
1401.61	85	6451.09
1401.71	84.9	7636.86
1401.81	84.8	9359.64
1401.91	84.7	11848.8
1402.01	84.6	15493.9
1402.11	84.5	20756
1402.21	84.4	27232.8
1402.31	84.3	34849.7
1402.41	84.2	42766.8
1402.51	84.1	49094.2
1402.61	84	52055.2
1402.71	83.9	50611.9
1402.81	83.8	45283.5
1402.91	83.7	37676.1
1403.01	83.6	29176.5
1403.11	83.5	21728
1403.21	83.4	15803.4
1403.31	83.3	11418.3
1403.41	83.2	8304.12
1403.51	83.1	6210.85
1403.61	83	4793.89
1403.71	82.9	3844.16
1403.81	82.8	3243.27
1403.91	82.7	2786.52
1404.01	82.6	2453.02
1404.11	82.5	2212.01
1404.21	82.4	2017.05
1404.31	82.3	1820.43
1404.41	82.2	1751.92
1404.51	82.1	1617.15
1404.61	82	1559.73
1404.71	81.9	1462.76
1404.81	81.8	1397.85
1404.91	81.7	1365.32
1405.01	81.6	1299.92
1405.11	81.5	1257.66
1405.21	81.4	1234.34
