C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
506.51	980.1	2288.54	2288.54
506.61	980	2280.9	2280.9
506.71	979.9	2236.68	2236.68
506.81	979.8	2258.45	2258.45
506.91	979.7	2269.41	2269.41
507.01	979.6	2266.42	2266.42
507.11	979.5	2264.52	2264.52
507.21	979.4	2265.76	2265.76
507.31	979.3	2240.76	2240.76
507.41	979.2	2235.89	2235.89
507.51	979.1	2233.16	2233.16
507.61	979	2241.12	2241.12
507.71	978.9	2221.69	2221.69
507.81	978.8	2218.93	2218.93
507.91	978.7	2269.68	2269.68
508.01	978.6	2244.18	2244.18
508.11	978.5	2167.02	2167.02
508.21	978.4	2226.38	2226.38
508.31	978.3	2257.55	2257.55
508.41	978.2	2267.92	2267.92
508.51	978.1	2273.78	2273.78
508.61	978	2291.14	2291.14
508.71	977.9	2283.55	2283.55
508.81	977.8	2235.18	2235.18
508.91	977.7	2230.74	2230.74
509.01	977.6	2250.14	2250.14
509.11	977.5	2254.5	2254.5
509.21	977.4	2279.45	2279.45
509.31	977.3	2286.31	2286.31
509.41	977.2	2210.7	2210.7
509.51	977.1	2239.96	2239.96
509.61	977	2261.74	2261.74
509.71	976.9	2263.46	2263.46
509.81	976.8	2238.29	2238.29
509.91	976.7	2228.92	2228.92
510.01	976.6	2247.27	2247.27
510.11	976.5	2284.02	2284.02
510.21	976.4	2228.58	2228.58
510.31	976.3	2213.15	2213.15
510.41	976.2	2229.75	2229.75
510.51	976.1	2268.51	2268.51
510.61	976	2258.16	2258.16
510.71	975.9	2256.36	2256.36
510.81	975.8	2241.54	2241.54
510.91	975.7	2275.32	2275.32
511.01	975.6	2218.32	2218.32
511.11	975.5	2253.05	2253.05
511.21	975.4	2293.54	2293.54
511.31	975.3	2286.47	2286.47
511.41	975.2	2278.37	2278.37
511.51	975.1	2272.45	2272.45
511.61	975	2275.44	2275.44
511.71	974.9	2290.53	2290.53
511.81	974.8	2283.37	2283.37
511.91	974.7	2247.43	2247.43
512.01	974.6	2311.32	2311.32
512.11	974.5	2297.33	2297.33
512.21	974.4	2260.08	2260.08
512.31	974.3	2294.52	2294.52
512.41	974.2	2263.17	2263.17
512.51	974.1	2281.24	2281.24
512.61	974	2304.11	2304.11
512.71	973.9	2284.04	2284.04
512.81	973.8	2254.61	2254.61
512.91	973.7	2254.67	2254.67
513.01	973.6	2226.32	2226.32
513.11	973.5	2286.93	2286.93
513.21	973.4	2354.79	2354.79
513.31	973.3	2297.31	2297.31
513.41	973.2	2270.54	2270.54
513.51	973.1	2281.82	2281.82
513.61	973	2294.95	2294.95
513.71	972.9	2278.98	2278.98
513.81	972.8	2230.84	2230.84
513.91	972.7	2267.55	2267.55
514.01	972.6	2260.79	2260.79
514.11	972.5	2265.01	2265.01
514.21	972.4	2273.24	2273.24
514.31	972.3	2267.48	2267.48
514.41	972.2	2228.18	2228.18
514.51	972.1	2274.08	2274.08
514.61	972	2282.55	2282.55
514.71	971.9	2268.44	2268.44
514.81	971.8	2296.66	2296.66
514.91	971.7	2318.83	2318.83
515.01	971.6	2297.19	2297.19
515.11	971.5	2235.26	2235.26
515.21	971.4	2224.75	2224.75
515.31	971.3	2241.72	2241.72
515.41	971.2	2260.2	2260.2
515.51	971.1	2288.58	2288.58
515.61	971	2253.3	2253.3
515.71	970.9	2273.28	2273.28
515.81	970.8	2242.74	2242.74
515.91	970.7	2214.29	2214.29
516.01	970.6	2247.35	2247.35
516.11	970.5	2231.74	2231.74
516.21	970.4	2222.34	2222.34
516.31	970.3	2249.32	2249.32
516.41	970.2	2293.76	2293.76
516.51	970.1	2263.48	2263.48
516.61	970	2188.55	2188.55
516.71	969.9	2270.04	2270.04
516.81	969.8	2273.24	2273.24
516.91	969.7	2262.71	2262.71
517.01	969.6	2329.91	2329.91
517.11	969.5	2286.5	2286.5
517.21	969.4	2233.15	2233.15
517.31	969.3	2230.23	2230.23
517.41	969.2	2208.22	2208.22
517.51	969.1	2226.14	2226.14
517.61	969	2225.31	2225.31
517.71	968.9	2272.19	2272.19
517.81	968.8	2279.94	2279.94
517.91	968.7	2274.75	2274.75
518.01	968.6	2249.58	2249.58
518.11	968.5	2249.79	2249.79
518.21	968.4	2239.68	2239.68
518.31	968.3	2275.3	2275.3
518.41	968.2	2285.83	2285.83
518.51	968.1	2303.56	2303.56
518.61	968	2308.09	2308.09
518.71	967.9	2253.81	2253.81
518.81	967.8	2226.7	2226.7
518.91	967.7	2194.08	2194.08
519.01	967.6	2181.37	2181.37
519.11	967.5	2188.11	2188.11
519.21	967.4	2223.82	2223.82
519.31	967.3	2183.53	2183.53
519.41	967.2	2209.78	2209.78
519.51	967.1	2221.78	2221.78
519.61	967	2259.87	2259.87
519.71	966.9	2180.6	2180.6
519.81	966.8	2194.25	2194.25
519.91	966.7	2248.29	2248.29
520.01	966.6	2257.97	2257.97
520.11	966.5	2235.18	2235.18
520.21	966.4	2242.36	2242.36
