C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
532.71	953.9	277288	277288
532.81	953.8	286566	286566
532.91	953.7	298798	298798
533.01	953.6	311994	311994
533.11	953.5	327633	327633
533.21	953.4	344538	344538
533.31	953.3	365945	365945
533.41	953.2	391592	391592
533.51	953.1	416277	416277
533.61	953	445216	445216
533.71	952.9	474660	474660
533.81	952.8	504087	504087
533.91	952.7	529370	529370
534.01	952.6	547866	547866
534.11	952.5	557595	557595
534.21	952.4	559126	559126
534.31	952.3	548508	548508
534.41	952.2	526972	526972
534.51	952.1	500039	500039
534.61	952	470255	470255
534.71	951.9	438255	438255
534.81	951.8	406754	406754
534.91	951.7	376120	376120
535.01	951.6	349279	349279
535.11	951.5	327325	327325
535.21	951.4	307845	307845
535.31	951.3	290086	290086
535.41	951.2	277868	277868
535.51	951.1	267357	267357
535.61	951	257171	257171
535.71	950.9	247708	247708
535.81	950.8	240554	240554
535.91	950.7	234763	234763
536.01	950.6	230528	230528
536.11	950.5	226464	226464
536.21	950.4	222670	222670
536.31	950.3	218901	218901
536.41	950.2	215384	215384
536.51	950.1	211844	211844
536.61	950	209512	209512
536.71	949.9	207614	207614
536.81	949.8	206313	206313
536.91	949.7	203953	203953
537.01	949.6	200958	200958
537.11	949.5	199535	199535
537.21	949.4	197274	197274
537.31	949.3	196245	196245
537.41	949.2	194899	194899
537.51	949.1	193497	193497
537.61	949	192862	192862
537.71	948.9	191517	191517
537.81	948.8	191881	191881
537.91	948.7	191161	191161
538.01	948.6	190689	190689
538.11	948.5	189775	189775
538.21	948.4	189047	189047
538.31	948.3	188847	188847
538.41	948.2	187919	187919
538.51	948.1	186887	186887
538.61	948	187479	187479
538.71	947.9	186737	186737
538.81	947.8	187540	187540
538.91	947.7	186947	186947
539.01	947.6	186706	186706
539.11	947.5	185494	185494
539.21	947.4	185989	185989
539.31	947.3	186452	186452
539.41	947.2	186128	186128
539.51	947.1	186200	186200
539.61	947	185856	185856
539.71	946.9	186198	186198
539.81	946.8	185712	185712
539.91	946.7	184727	184727
540.01	946.6	185116	185116
540.11	946.5	185735	185735
540.21	946.4	184545	184545
540.31	946.3	184879	184879
540.41	946.2	185547	185547
540.51	946.1	184198	184198
540.61	946	184586	184586
540.71	945.9	184128	184128
540.81	945.8	183918	183918
540.91	945.7	183967	183967
541.01	945.6	181821	181821
541.11	945.5	181117	181117
541.21	945.4	179706	179706
541.31	945.3	178945	178945
541.41	945.2	178034	178034
541.51	945.1	177039	177039
541.61	945	177371	177371
541.71	944.9	175842	175842
541.81	944.8	176290	176290
541.91	944.7	175960	175960
542.01	944.6	175700	175700
542.11	944.5	174350	174350
542.21	944.4	174100	174100
542.31	944.3	173341	173341
542.41	944.2	173756	173756
542.51	944.1	173104	173104
542.61	944	172610	172610
542.71	943.9	172777	172777
542.81	943.8	170814	170814
542.91	943.7	171017	171017
543.01	943.6	171595	171595
543.11	943.5	171843	171843
543.21	943.4	170137	170137
543.31	943.3	170778	170778
543.41	943.2	170419	170419
543.51	943.1	168788	168788
543.61	943	168097	168097
543.71	942.9	167045	167045
543.81	942.8	166500	166500
543.91	942.7	166241	166241
544.01	942.6	164620	164620
544.11	942.5	163825	163825
544.21	942.4	163391	163391
544.31	942.3	161635	161635
544.41	942.2	161559	161559
544.51	942.1	160787	160787
544.61	942	158917	158917
544.71	941.9	157579	157579
544.81	941.8	156862	156862
544.91	941.7	154372	154372
545.01	941.6	153881	153881
545.11	941.5	153262	153262
545.21	941.4	153187	153187
545.31	941.3	153024	153024
545.41	941.2	152610	152610
545.51	941.1	152438	152438
545.61	941	151500	151500
545.71	940.9	151882	151882
545.81	940.8	151720	151720
545.91	940.7	151128	151128
546.01	940.6	151241	151241
546.11	940.5	150479	150479
546.21	940.4	150942	150942
546.31	940.3	152077	152077
546.41	940.2	152669	152669
546.51	940.1	152168	152168
546.61	940	151245	151245
546.71	939.9	151732	151732
546.81	939.8	151466	151466
546.91	939.7	152408	152408
547.01	939.6	152749	152749
547.11	939.5	152610	152610
547.21	939.4	151709	151709
547.31	939.3	151163	151163
547.41	939.2	150409	150409
547.51	939.1	152080	152080
547.61	939	152151	152151
547.71	938.9	151160	151160
547.81	938.8	151166	151166
547.91	938.7	151808	151808
548.01	938.6	151486	151486
548.11	938.5	150571	150571
548.21	938.4	151315	151315
548.31	938.3	151258	151258
548.41	938.2	152167	152167
548.51	938.1	152082	152082
548.61	938	151629	151629
548.71	937.9	152618	152618
548.81	937.8	153384	153384
548.91	937.7	153751	153751
549.01	937.6	154909	154909
549.11	937.5	155738	155738
549.21	937.4	157168	157168
549.31	937.3	157064	157064
549.41	937.2	158518	158518
