c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex391_cec356_o2 test without sample 1.vms
O1s
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_O1s	BE_O1s	CPS_O1s	Background_O1s
586.11	900.5	1.30303	1.30303
586.21	900.4	1.20703	1.20703
586.31	900.3	1.15045	1.15045
586.41	900.2	0.957781	0.957781
586.51	900.1	1.05005	1.05005
586.61	900	1.7179	1.7179
586.71	899.9	1.15555	1.15555
586.81	899.8	1.081	1.081
586.91	899.7	1.15113	1.15113
587.01	899.6	0.810334	0.810334
587.11	899.5	0.837946	0.837946
587.21	899.4	0.730036	0.730036
587.31	899.3	0.650428	0.650428
587.41	899.2	0.927759	0.927759
587.51	899.1	1.23369	1.23369
587.61	899	1.15289	1.15289
587.71	898.9	0.964715	0.964715
587.81	898.8	0.926179	0.926179
587.91	898.7	1.17146	1.17146
588.01	898.6	1.14434	1.14434
588.11	898.5	1.02689	1.02689
588.21	898.4	1.01795	1.01795
588.31	898.3	0.939813	0.939813
588.41	898.2	1.06678	1.06678
588.51	898.1	1.05407	1.05407
588.61	898	1.02787	1.02787
588.71	897.9	0.909747	0.909747
588.81	897.8	0.857491	0.857491
588.91	897.7	1.07316	1.07316
589.01	897.6	0.974089	0.974089
589.11	897.5	0.876911	0.876911
589.21	897.4	0.776307	0.776307
589.31	897.3	0.865601	0.865601
589.41	897.2	1.09078	1.09078
589.51	897.1	1.03579	1.03579
589.61	897	1.15826	1.15826
589.71	896.9	1.14301	1.14301
589.81	896.8	1.27188	1.27188
589.91	896.7	0.826466	0.826466
590.01	896.6	1.02481	1.02481
590.11	896.5	0.898115	0.898115
590.21	896.4	0.657029	0.657029
590.31	896.3	0.825348	0.825348
590.41	896.2	0.865691	0.865691
590.51	896.1	0.796315	0.796315
590.61	896	1.14695	1.14695
590.71	895.9	0.778093	0.778093
590.81	895.8	0.851271	0.851271
590.91	895.7	1.39746	1.39746
591.01	895.6	0.966319	0.966319
591.11	895.5	1.02055	1.02055
591.21	895.4	0.811712	0.811712
591.31	895.3	0.977457	0.977457
591.41	895.2	1.0287	1.0287
591.51	895.1	1.26437	1.26437
591.61	895	1.02274	1.02274
591.71	894.9	1.08967	1.08967
591.81	894.8	1.30287	1.30287
591.91	894.7	1.38097	1.38097
592.01	894.6	1.16577	1.16577
592.11	894.5	1.47413	1.47413
592.21	894.4	0.995507	0.995507
592.31	894.3	0.896047	0.896047
592.41	894.2	1.06337	1.06337
592.51	894.1	0.883144	0.883144
592.61	894	0.556982	0.556982
592.71	893.9	0.736785	0.736785
592.81	893.8	0.673169	0.673169
592.91	893.7	0.882413	0.882413
593.01	893.6	0.997745	0.997745
593.11	893.5	0.941329	0.941329
593.21	893.4	0.890692	0.890692
593.31	893.3	1.31536	1.31536
