C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
535.41	951.2	14527.8
535.51	951.1	13954
535.61	951	13447.2
535.71	950.9	13140.7
535.81	950.8	12794.1
535.91	950.7	12497.3
536.01	950.6	12274.5
536.11	950.5	12071.5
536.21	950.4	11954.5
536.31	950.3	11799.7
536.41	950.2	11628
536.51	950.1	11634.2
536.61	950	11489.2
536.71	949.9	11376
536.81	949.8	11286
536.91	949.7	11288.7
537.01	949.6	11245
537.11	949.5	11181.8
537.21	949.4	11130.4
537.31	949.3	11073.4
537.41	949.2	11039.9
537.51	949.1	10969.2
537.61	949	10983.9
537.71	948.9	10922.7
537.81	948.8	10922.2
537.91	948.7	10858.7
538.01	948.6	10875.6
538.11	948.5	10858.6
538.21	948.4	10815.6
538.31	948.3	10850.9
538.41	948.2	10849.4
538.51	948.1	10815.3
538.61	948	10794.3
538.71	947.9	10829
538.81	947.8	10746.8
538.91	947.7	10789.6
539.01	947.6	10816.9
539.11	947.5	10818.9
539.21	947.4	10902.5
539.31	947.3	10885.6
539.41	947.2	10913.1
539.51	947.1	11047.9
539.61	947	11093.9
539.71	946.9	11179.6
539.81	946.8	11198.5
539.91	946.7	11260.9
540.01	946.6	11198.2
540.11	946.5	11265.2
540.21	946.4	11309.8
540.31	946.3	11262.2
540.41	946.2	11185.1
540.51	946.1	11159
540.61	946	11151.2
540.71	945.9	11119.2
540.81	945.8	11097.7
540.91	945.7	11055.5
541.01	945.6	10994.3
541.11	945.5	10978
541.21	945.4	10992.6
541.31	945.3	11016.9
541.41	945.2	11099.8
541.51	945.1	11142.1
541.61	945	11196.8
541.71	944.9	11275.2
541.81	944.8	11397.5
541.91	944.7	11481.9
542.01	944.6	11610.6
542.11	944.5	11717.2
542.21	944.4	11886.5
542.31	944.3	11985.9
542.41	944.2	12070.2
542.51	944.1	12222.2
542.61	944	12399.2
542.71	943.9	12388.4
542.81	943.8	12473.8
542.91	943.7	12509.1
543.01	943.6	12462.1
543.11	943.5	12429.6
543.21	943.4	12391.3
543.31	943.3	12337.4
543.41	943.2	12304.8
543.51	943.1	12125
543.61	943	12064.1
543.71	942.9	12018.1
543.81	942.8	11901.7
543.91	942.7	11789.9
544.01	942.6	11759.6
544.11	942.5	11710.8
544.21	942.4	11682.5
544.31	942.3	11666.7
544.41	942.2	11673.8
544.51	942.1	11692.1
544.61	942	11649.4
544.71	941.9	11612.6
544.81	941.8	11617
544.91	941.7	11620.1
545.01	941.6	11593.3
545.11	941.5	11585.2
545.21	941.4	11596
545.31	941.3	11629.5
545.41	941.2	11660.2
545.51	941.1	11617.9
545.61	941	11649.8
545.71	940.9	11635.1
545.81	940.8	11678.4
545.91	940.7	11689.7
546.01	940.6	11621.9
546.11	940.5	11561
546.21	940.4	11537
546.31	940.3	11459.3
546.41	940.2	11349.4
546.51	940.1	11214.4
546.61	940	11040
546.71	939.9	10897.6
546.81	939.8	10756
546.91	939.7	10619.2
547.01	939.6	10450.5
547.11	939.5	10353.2
547.21	939.4	10253.7
547.31	939.3	10102
547.41	939.2	10013.6
547.51	939.1	9968.74
547.61	939	9912.96
547.71	938.9	9878.36
547.81	938.8	9852.82
547.91	938.7	9792.44
548.01	938.6	9793.33
548.11	938.5	9771.23
548.21	938.4	9765.47
548.31	938.3	9730.24
548.41	938.2	9769.25
548.51	938.1	9781.38
548.61	938	9817.44
548.71	937.9	9809.95
548.81	937.8	9842.38
548.91	937.7	9873.68
549.01	937.6	9913.58
549.11	937.5	9974.13
549.21	937.4	9996.57
549.31	937.3	10060.9
549.41	937.2	10105.3
549.51	937.1	10190.6
549.61	937	10183.5
549.71	936.9	10250
549.81	936.8	10275.6
549.91	936.7	10405.5
550.01	936.6	10520.6
550.11	936.5	10606.6
550.21	936.4	10663.5
550.31	936.3	10788.7
550.41	936.2	10847
