C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
546.51	940.1	125473	125473
546.61	940	125237	125237
546.71	939.9	125103	125103
546.81	939.8	125474	125474
546.91	939.7	126321	126321
547.01	939.6	126520	126520
547.11	939.5	126573	126573
547.21	939.4	126084	126084
547.31	939.3	125299	125299
547.41	939.2	124723	124723
547.51	939.1	126178	126178
547.61	939	126569	126569
547.71	938.9	126576	126576
547.81	938.8	125999	125999
547.91	938.7	125475	125475
548.01	938.6	125662	125662
548.11	938.5	125706	125706
548.21	938.4	126228	126228
548.31	938.3	126045	126045
548.41	938.2	126656	126656
548.51	938.1	126236	126236
548.61	938	126394	126394
548.71	937.9	127216	127216
548.81	937.8	127691	127691
548.91	937.7	127582	127582
549.01	937.6	128295	128295
549.11	937.5	128822	128822
549.21	937.4	129281	129281
549.31	937.3	129711	129711
549.41	937.2	130552	130552
