C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
534.71	951.9	248752	248752
534.81	951.8	232043	232043
534.91	951.7	216680	216680
535.01	951.6	203684	203684
535.11	951.5	191543	191543
535.21	951.4	181586	181586
535.31	951.3	173415	173415
535.41	951.2	165353	165353
535.51	951.1	158971	158971
535.61	951	153854	153854
535.71	950.9	150833	150833
535.81	950.8	147911	147911
535.91	950.7	144349	144349
536.01	950.6	140572	140572
536.11	950.5	138170	138170
536.21	950.4	135561	135561
536.31	950.3	134117	134117
536.41	950.2	132937	132937
536.51	950.1	131020	131020
536.61	950	129357	129357
536.71	949.9	128039	128039
536.81	949.8	126706	126706
536.91	949.7	126527	126527
537.01	949.6	125701	125701
537.11	949.5	124455	124455
537.21	949.4	123437	123437
537.31	949.3	123423	123423
537.41	949.2	123422	123422
537.51	949.1	122046	122046
537.61	949	121188	121188
537.71	948.9	120850	120850
537.81	948.8	121533	121533
537.91	948.7	121233	121233
538.01	948.6	120351	120351
538.11	948.5	119756	119756
538.21	948.4	119591	119591
538.31	948.3	119037	119037
538.41	948.2	119886	119886
538.51	948.1	120220	120220
538.61	948	119711	119711
538.71	947.9	119072	119072
538.81	947.8	118314	118314
538.91	947.7	118451	118451
539.01	947.6	117737	117737
539.11	947.5	117787	117787
539.21	947.4	117939	117939
539.31	947.3	117488	117488
539.41	947.2	117965	117965
539.51	947.1	117969	117969
539.61	947	118230	118230
539.71	946.9	118095	118095
539.81	946.8	117694	117694
539.91	946.7	118283	118283
540.01	946.6	117692	117692
540.11	946.5	117940	117940
540.21	946.4	117685	117685
540.31	946.3	117695	117695
540.41	946.2	117088	117088
540.51	946.1	116537	116537
540.61	946	117416	117416
540.71	945.9	117340	117340
540.81	945.8	116472	116472
540.91	945.7	116060	116060
541.01	945.6	116481	116481
541.11	945.5	115690	115690
541.21	945.4	115085	115085
541.31	945.3	114235	114235
541.41	945.2	114397	114397
541.51	945.1	113558	113558
541.61	945	113930	113930
541.71	944.9	113015	113015
541.81	944.8	112724	112724
541.91	944.7	112427	112427
542.01	944.6	111925	111925
542.11	944.5	112334	112334
542.21	944.4	112406	112406
542.31	944.3	112579	112579
542.41	944.2	112155	112155
542.51	944.1	111483	111483
542.61	944	111087	111087
542.71	943.9	110707	110707
542.81	943.8	111225	111225
542.91	943.7	110372	110372
543.01	943.6	109739	109739
543.11	943.5	109565	109565
543.21	943.4	110549	110549
543.31	943.3	109396	109396
543.41	943.2	108764	108764
543.51	943.1	108585	108585
543.61	943	109048	109048
543.71	942.9	108538	108538
543.81	942.8	108241	108241
543.91	942.7	108181	108181
544.01	942.6	108294	108294
544.11	942.5	107381	107381
544.21	942.4	106693	106693
544.31	942.3	106748	106748
544.41	942.2	105460	105460
544.51	942.1	104922	104922
544.61	942	104584	104584
544.71	941.9	103886	103886
544.81	941.8	102453	102453
544.91	941.7	102223	102223
545.01	941.6	101859	101859
545.11	941.5	101773	101773
545.21	941.4	101260	101260
545.31	941.3	101297	101297
545.41	941.2	100923	100923
545.51	941.1	99808.6	99808.6
545.61	941	100292	100292
545.71	940.9	100885	100885
545.81	940.8	101317	101317
545.91	940.7	101139	101139
546.01	940.6	101528	101528
546.11	940.5	101645	101645
546.21	940.4	100986	100986
546.31	940.3	99214.3	99214.3
546.41	940.2	98986.5	98986.5
546.51	940.1	100153	100153
546.61	940	100914	100914
546.71	939.9	100590	100590
546.81	939.8	100995	100995
546.91	939.7	101064	101064
547.01	939.6	100895	100895
547.11	939.5	101085	101085
547.21	939.4	100907	100907
547.31	939.3	101032	101032
547.41	939.2	101388	101388
547.51	939.1	101224	101224
547.61	939	100669	100669
547.71	938.9	100475	100475
547.81	938.8	100263	100263
547.91	938.7	100066	100066
548.01	938.6	100651	100651
548.11	938.5	100399	100399
548.21	938.4	100245	100245
548.31	938.3	100389	100389
548.41	938.2	101097	101097
548.51	938.1	101293	101293
548.61	938	102161	102161
548.71	937.9	102167	102167
548.81	937.8	102710	102710
548.91	937.7	102100	102100
549.01	937.6	101890	101890
549.11	937.5	102323	102323
549.21	937.4	103992	103992
549.31	937.3	104421	104421
